Name,ALMA_1a,ALMA_1b,ALMA_1c,ALMA_1d,ALMA_2a,ALMA_2b,ALMA_2c,ALMA_2d,ALMA_3a,ALMA_3b,ALMA_3c,ALMA_3d,ALMA_4a,ALMA_4b,ALMA_4c,ALMA_4d,ALMA_5a,ALMA_5b,ALMA_5c,ALMA_5d,ALMA_6a,ALMA_6b,ALMA_6c,ALMA_6d,ALMA_8a,ALMA_8b,LB_1a,LB_1b,LB_1c,LB_1d,Lomas_Bayas_3a,Lomas_Bayas_3b,Lomas_Bayas_3c,CAB_2a,CAB_2b,CAB_2c,CAB_2d,CAB_3b,CAB_3c,Y6-2a_,Y6-2b_,Y6-2c_,Y6-2d_,Y6-30a,Y6-30b,Y6-30c,Y6-30d,Y6-100a,Y6-100b,Y6-100c,Y6-100d,Chaxa_1-2a,Chaxa_1-2b,Chaxa_1-2c,Chaxa_1-2d,Chaxa_1-30a,Chaxa_1-30b,Chaxa_1-30c,Chaxa_1-30d,Chaxa_cyano_a,Chaxa_cyano_b,Chaxa_cyano_c,Chaxa_cyano_d,LM_1a,LM_1b,LM_1c,LM_1d,LM_2a,LM_2b,LM_2c,LM_2d,POP_1d,POP_2a,POP_2b,POP_2c,POP_2d,VDL_a,VDL_b,VDL_c,VDL_d,Y2a,Y2b,Y2c,Y2d
Streptomyces,0,1,6,18,27,1,9,12,1,8,1,0,28,15,30,34,2,3,5,4,2,4,5,1,1,15,7,1,7,4,1,10,13,5,0,1,2,0,1,7,8,14,25,2,2,4,7,23,8,194,82,5,30,44,19,1,34,39,58,0,14,30,4,3,1,1,2,1,0,1,0,73,1,5,109,411,3,31,79,43,0,0,0,0
Nocardioides,14,15,14,23,29,4,8,12,43,33,9,3,15,24,11,13,15,9,26,14,16,20,26,13,41,28,16,8,8,16,2,11,4,19,0,16,5,7,22,11,5,7,12,2,7,2,3,45,3,8,0,27,16,29,17,2,44,27,41,0,27,34,4,21,16,10,7,5,7,5,2,26,3,6,13,8,5,21,18,22,56,246,108,93
Mycobacterium,5,0,3,5,140,9,29,43,24,13,118,156,63,40,61,65,2,5,22,11,0,2,7,0,1,4,3,2,11,3,0,11,15,1,0,0,1,4,4,2,2,21,10,2,1,0,1,31,1,61,3,14,53,59,24,0,36,49,77,0,5,33,4,0,1,0,0,0,0,3,2,43,0,2,38,13,0,29,27,48,9,42,18,23
Microbacterium,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,2,1,6,8,1,38,104,0,0,9,6,0,0,0,0,5,9,32,2,1,0,27,1,0,1,2,0,0,1,4,0,12,2,8,4,18,14,20,26,13,0,0,1,0,0,2,2,0,98,547,275,242
Gordonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,2,1,1,2,1,2,0,0,1,6,0,0,0,0,0,1,576,142,0,0,0,0,0,43,0,100,0,30,0,0,39,1,4,0,0,0,0,1,5,0,5,374,168,0,5,0,2,0,1,2,1
HQ864103_g,7,7,4,9,34,4,5,9,6,2,16,1,39,9,3,10,4,5,15,2,5,1,1,1,2,2,1,3,1,7,9,302,215,25,4,9,6,1,0,22,16,27,0,2,4,2,4,40,11,6,23,11,6,25,11,5,37,4,11,7,17,42,3,3,1,3,2,1,2,0,2,42,8,8,9,12,5,3,8,15,0,7,6,3
Kocuria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,1,2,24,65,0,0,0,0,0,0,0,0,3,1,5,3,2,1,0,1,0,0,0,7,0,1,0,1,14,4,5,3,1,1,2,0,13,0,0,2,0,0,1,0,0,123,510,203,206
Aciditerrimonas,0,0,9,9,14,121,28,50,7,3,7,14,5,7,3,5,1,0,2,4,2,0,7,2,0,0,6,0,1,0,21,3,2,2,1,2,1,0,0,77,70,9,3,40,50,35,84,14,0,6,0,13,18,25,5,26,16,11,31,37,2,17,52,10,1,2,5,0,1,1,3,0,37,46,11,21,47,4,15,8,0,0,2,0
Pseudonocardia,1,5,6,11,44,9,17,20,5,3,5,7,15,9,16,17,19,17,2,0,52,53,94,28,15,8,15,9,63,17,1,11,19,11,3,0,2,0,0,2,2,13,12,1,2,0,0,9,19,39,4,9,35,37,10,1,42,35,53,1,11,26,9,2,3,1,0,0,0,1,0,6,1,0,26,22,0,10,34,38,0,0,0,0
FJ478790_g,2,0,14,10,77,21,35,48,0,1,1,0,29,12,17,16,1,1,6,0,2,5,0,0,0,0,2,0,5,0,28,11,8,2,3,2,1,0,0,55,47,8,10,41,39,34,66,10,4,47,1,14,21,12,6,25,6,13,34,42,6,9,41,4,2,3,1,0,0,2,1,10,31,41,4,16,34,16,15,11,0,0,0,0
